MatchID,OriginID,DestinationID,Weight
1,Huskies_D1,Huskies_D2,14
1,Huskies_D1,Huskies_D3,8
1,Huskies_D1,Huskies_D4,1
1,Huskies_D1,Huskies_D5,3
1,Huskies_D1,Huskies_F1,3
1,Huskies_D1,Huskies_F2,3
1,Huskies_D1,Huskies_F3,1
1,Huskies_D1,Huskies_G1,2
1,Huskies_D1,Huskies_M1,11
1,Huskies_D1,Huskies_M2,1
1,Huskies_D1,Huskies_M3,4
1,Huskies_D1,Huskies_M4,1
1,Huskies_D2,Huskies_D1,11
1,Huskies_D2,Huskies_D3,18
1,Huskies_D2,Huskies_F1,1
1,Huskies_D2,Huskies_F2,3
1,Huskies_D2,Huskies_G1,1
1,Huskies_D2,Huskies_M1,1
1,Huskies_D2,Huskies_M3,1
1,Huskies_D3,Huskies_D1,6
1,Huskies_D3,Huskies_D2,6
1,Huskies_D3,Huskies_D4,9
1,Huskies_D3,Huskies_F1,1
1,Huskies_D3,Huskies_F2,2
1,Huskies_D3,Huskies_F3,1
1,Huskies_D3,Huskies_G1,6
1,Huskies_D3,Huskies_M1,4
1,Huskies_D3,Huskies_M2,5
1,Huskies_D3,Huskies_M3,6
1,Huskies_D3,Huskies_M4,1
1,Huskies_D3,Huskies_M5,1
1,Huskies_D4,Huskies_D2,1
1,Huskies_D4,Huskies_D3,4
1,Huskies_D4,Huskies_F1,1
1,Huskies_D4,Huskies_F2,2
1,Huskies_D4,Huskies_F3,2
1,Huskies_D4,Huskies_M1,1
1,Huskies_D4,Huskies_M2,3
1,Huskies_D4,Huskies_M3,2
1,Huskies_D4,Huskies_M4,1
1,Huskies_D5,Huskies_D1,1
1,Huskies_D5,Huskies_D5,2
1,Huskies_D5,Huskies_F1,1
1,Huskies_D5,Huskies_F2,8
1,Huskies_D5,Huskies_M1,4
1,Huskies_D5,Huskies_M3,1
1,Huskies_F1,Huskies_D1,2
1,Huskies_F1,Huskies_D5,1
1,Huskies_F1,Huskies_F2,5
1,Huskies_F1,Huskies_F3,1
1,Huskies_F1,Huskies_M1,1
1,Huskies_F1,Huskies_M5,1
1,Huskies_F2,Huskies_D1,3
1,Huskies_F2,Huskies_D3,4
1,Huskies_F2,Huskies_D4,2
1,Huskies_F2,Huskies_D5,4
1,Huskies_F2,Huskies_F1,3
1,Huskies_F2,Huskies_F3,1
1,Huskies_F2,Huskies_M1,14
1,Huskies_F2,Huskies_M3,4
1,Huskies_F2,Huskies_M4,2
1,Huskies_F2,Huskies_M5,1
1,Huskies_F3,Huskies_D2,1
1,Huskies_F3,Huskies_D3,1
1,Huskies_F3,Huskies_F1,1
1,Huskies_F3,Huskies_F2,3
1,Huskies_F3,Huskies_M2,1
1,Huskies_F3,Huskies_M3,2
1,Huskies_G1,Huskies_D1,2
1,Huskies_G1,Huskies_D3,2
1,Huskies_G1,Huskies_D5,2
1,Huskies_G1,Huskies_F1,2
1,Huskies_G1,Huskies_G1,1
1,Huskies_G1,Huskies_M1,3
1,Huskies_M1,Huskies_D1,13
1,Huskies_M1,Huskies_D2,3
1,Huskies_M1,Huskies_D4,3
1,Huskies_M1,Huskies_D5,2
1,Huskies_M1,Huskies_F1,5
1,Huskies_M1,Huskies_F2,10
1,Huskies_M1,Huskies_F3,2
1,Huskies_M1,Huskies_G1,1
1,Huskies_M1,Huskies_M1,1
1,Huskies_M1,Huskies_M2,1
1,Huskies_M1,Huskies_M3,8
1,Huskies_M1,Huskies_M4,2
1,Huskies_M1,Huskies_M5,1
1,Huskies_M2,Huskies_D2,2
1,Huskies_M2,Huskies_D3,2
1,Huskies_M2,Huskies_D4,4
1,Huskies_M2,Huskies_F1,1
1,Huskies_M2,Huskies_F3,2
1,Huskies_M2,Huskies_G1,1
1,Huskies_M2,Huskies_M1,1
1,Huskies_M2,Huskies_M3,7
1,Huskies_M3,Huskies_D1,6
